# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 127                                  -6.483410             0.575694                      -5.907716 
 128                                  -6.480813             0.573109                      -5.907704 
 129                                  -6.478059             0.570366                      -5.907692 
 130                                  -6.475275             0.567585                      -5.907690 
 131                                  -6.472596             0.564907                      -5.907689 
 132                                  -6.470165             0.562478                      -5.907686 
 133                                  -6.468116             0.560434                      -5.907682 
 134                                  -6.466554             0.558872                      -5.907682 
 135                                  -6.465526             0.557845                      -5.907682 
 136                                  -6.465025             0.557348                      -5.907677 
 137                                  -6.465012             0.557341                      -5.907671 
 138                                  -6.465427             0.557767                      -5.907660 
 139                                  -6.466234             0.558578                      -5.907656 
 140                                  -6.467396             0.559751                      -5.907645 
 141                                  -6.468919             0.561285                      -5.907634 
 142                                  -6.470807             0.563180                      -5.907627 
 143                                  -6.473041             0.565412                      -5.907629 
 144                                  -6.475548             0.567911                      -5.907637 
 145                                  -6.478205             0.570558                      -5.907646 
 146                                  -6.480863             0.573204                      -5.907659 
 147                                  -6.483357             0.575686                      -5.907671 
 148                                  -6.485539             0.577848                      -5.907690 
 149                                  -6.487267             0.579560                      -5.907707 
 150                                  -6.488447             0.580728                      -5.907719 
 151                                  -6.489030             0.581306                      -5.907724 
 152                                  -6.489029             0.581304                      -5.907725 
 153                                  -6.488503             0.580789                      -5.907714 
 154                                  -6.487567             0.579877                      -5.907690 
 155                                  -6.486373             0.578705                      -5.907669 
 156                                  -6.485044             0.577399                      -5.907645 
 157                                  -6.483675             0.576045                      -5.907630 
 158                                  -6.482279             0.574667                      -5.907611 
 159                                  -6.480850             0.573248                      -5.907602 
 160                                  -6.479351             0.571757                      -5.907594 
 161                                  -6.477772             0.570193                      -5.907579 
 162                                  -6.476170             0.568603                      -5.907567 
 163                                  -6.474641             0.567091                      -5.907550 
 164                                  -6.473327             0.565795                      -5.907531 
 165                                  -6.472383             0.564869                      -5.907514 
 166                                  -6.471949             0.564449                      -5.907500 
 167                                  -6.472121             0.564633                      -5.907488 
 168                                  -6.472935             0.565449                      -5.907486 
 169                                  -6.474340             0.566845                      -5.907494 
 170                                  -6.476194             0.568686                      -5.907508 
 171                                  -6.478282             0.570761                      -5.907521 
 172                                  -6.480348             0.572814                      -5.907534 
 173                                  -6.482127             0.574582                      -5.907544 
 174                                  -6.483377             0.575829                      -5.907548 
 175                                  -6.483927             0.576379                      -5.907549 
 176                                  -6.483674             0.576134                      -5.907540 
 177                                  -6.482612             0.575087                      -5.907525 
 178                                  -6.480820             0.573313                      -5.907508 
 179                                  -6.478449             0.570959                      -5.907490 
 180                                  -6.475695             0.568225                      -5.907470 
 181                                  -6.472786             0.565334                      -5.907452 
 182                                  -6.469943             0.562510                      -5.907432 
 183                                  -6.467361             0.559947                      -5.907414 
 184                                  -6.465194             0.557792                      -5.907402 
 185                                  -6.463533             0.556140                      -5.907393 
 186                                  -6.462425             0.555040                      -5.907384 
 187                                  -6.461894             0.554514                      -5.907380 
 188                                  -6.461943             0.554571                      -5.907372 
 189                                  -6.462593             0.555229                      -5.907364 
