# Positions of the atoms in each direction in reduced units at the initial state for  Ar
 Atom                                      r(x)                 r(y)                 r(z) 
 137                                  -5.038789             3.359192             1.679596 
 138                                  -4.198990             4.198990             1.679596 
 139                                  -4.198990             3.359192             2.519394 
 140                                  -5.038789             4.198990             2.519394 
 141                                  -5.038789             3.359192             3.359192 
 142                                  -4.198990             4.198990             3.359192 
 143                                  -4.198990             3.359192             4.198990 
 144                                  -5.038789             4.198990             4.198990 
 145                                  -3.359192            -5.038789            -5.038789 
 146                                  -2.519394            -4.198990            -5.038789 
 147                                  -2.519394            -5.038789            -4.198990 
 148                                  -3.359192            -4.198990            -4.198990 
 149                                  -3.359192            -5.038789            -3.359192 
 150                                  -2.519394            -4.198990            -3.359192 
 151                                  -2.519394            -5.038789            -2.519394 
 152                                  -3.359192            -4.198990            -2.519394 
 153                                  -3.359192            -5.038789            -1.679596 
 154                                  -2.519394            -4.198990            -1.679596 
 155                                  -2.519394            -5.038789            -0.839798 
 156                                  -3.359192            -4.198990            -0.839798 
 157                                  -3.359192            -5.038789             0.000000 
 158                                  -2.519394            -4.198990             0.000000 
 159                                  -2.519394            -5.038789             0.839798 
 160                                  -3.359192            -4.198990             0.839798 
 161                                  -3.359192            -5.038789             1.679596 
 162                                  -2.519394            -4.198990             1.679596 
 163                                  -2.519394            -5.038789             2.519394 
 164                                  -3.359192            -4.198990             2.519394 
 165                                  -3.359192            -5.038789             3.359192 
 166                                  -2.519394            -4.198990             3.359192 
 167                                  -2.519394            -5.038789             4.198990 
 168                                  -3.359192            -4.198990             4.198990 
 169                                  -3.359192            -3.359192            -5.038789 
 170                                  -2.519394            -2.519394            -5.038789 
 171                                  -2.519394            -3.359192            -4.198990 
 172                                  -3.359192            -2.519394            -4.198990 
 173                                  -3.359192            -3.359192            -3.359192 
 174                                  -2.519394            -2.519394            -3.359192 
 175                                  -2.519394            -3.359192            -2.519394 
 176                                  -3.359192            -2.519394            -2.519394 
 177                                  -3.359192            -3.359192            -1.679596 
 178                                  -2.519394            -2.519394            -1.679596 
 179                                  -2.519394            -3.359192            -0.839798 
 180                                  -3.359192            -2.519394            -0.839798 
 181                                  -3.359192            -3.359192             0.000000 
 182                                  -2.519394            -2.519394             0.000000 
 183                                  -2.519394            -3.359192             0.839798 
 184                                  -3.359192            -2.519394             0.839798 
 185                                  -3.359192            -3.359192             1.679596 
 186                                  -2.519394            -2.519394             1.679596 
 187                                  -2.519394            -3.359192             2.519394 
 188                                  -3.359192            -2.519394             2.519394 
 189                                  -3.359192            -3.359192             3.359192 
 190                                  -2.519394            -2.519394             3.359192 
 191                                  -2.519394            -3.359192             4.198990 
 192                                  -3.359192            -2.519394             4.198990 
 193                                  -3.359192            -1.679596            -5.038789 
 194                                  -2.519394            -0.839798            -5.038789 
 195                                  -2.519394            -1.679596            -4.198990 
 196                                  -3.359192            -0.839798            -4.198990 
 197                                  -3.359192            -1.679596            -3.359192 
 198                                  -2.519394            -0.839798            -3.359192 
 199                                  -2.519394            -1.679596            -2.519394 
 200                                  -3.359192            -0.839798            -2.519394 
 201                                  -3.359192            -1.679596            -1.679596 
 202                                  -2.519394            -0.839798            -1.679596 
 203                                  -2.519394            -1.679596            -0.839798 
 204                                  -3.359192            -0.839798            -0.839798 
 205                                  -3.359192            -1.679596             0.000000 
 206                                  -2.519394            -0.839798             0.000000 
 207                                  -2.519394            -1.679596             0.839798 
 208                                  -3.359192            -0.839798             0.839798 
 209                                  -3.359192            -1.679596             1.679596 
 210                                  -2.519394            -0.839798             1.679596 
 211                                  -2.519394            -1.679596             2.519394 
 212                                  -3.359192            -0.839798             2.519394 
 213                                  -3.359192            -1.679596             3.359192 
 214                                  -2.519394            -0.839798             3.359192 
 215                                  -2.519394            -1.679596             4.198990 
 216                                  -3.359192            -0.839798             4.198990 
 217                                  -3.359192             0.000000            -5.038789 
 218                                  -2.519394             0.839798            -5.038789 
 219                                  -2.519394             0.000000            -4.198990 
 220                                  -3.359192             0.839798            -4.198990 
 221                                  -3.359192             0.000000            -3.359192 
 222                                  -2.519394             0.839798            -3.359192 
 223                                  -2.519394             0.000000            -2.519394 
 224                                  -3.359192             0.839798            -2.519394 
 225                                  -3.359192             0.000000            -1.679596 
 226                                  -2.519394             0.839798            -1.679596 
 227                                  -2.519394             0.000000            -0.839798 
 228                                  -3.359192             0.839798            -0.839798 
 229                                  -3.359192             0.000000             0.000000 
 230                                  -2.519394             0.839798             0.000000 
 231                                  -2.519394             0.000000             0.839798 
 232                                  -3.359192             0.839798             0.839798 
 233                                  -3.359192             0.000000             1.679596 
 234                                  -2.519394             0.839798             1.679596 
 235                                  -2.519394             0.000000             2.519394 
 236                                  -3.359192             0.839798             2.519394 
 237                                  -3.359192             0.000000             3.359192 
 238                                  -2.519394             0.839798             3.359192 
 239                                  -2.519394             0.000000             4.198990 
 240                                  -3.359192             0.839798             4.198990 
 241                                  -3.359192             1.679596            -5.038789 
 242                                  -2.519394             2.519394            -5.038789 
 243                                  -2.519394             1.679596            -4.198990 
 244                                  -3.359192             2.519394            -4.198990 
 245                                  -3.359192             1.679596            -3.359192 
 246                                  -2.519394             2.519394            -3.359192 
 247                                  -2.519394             1.679596            -2.519394 
 248                                  -3.359192             2.519394            -2.519394 
 249                                  -3.359192             1.679596            -1.679596 
 250                                  -2.519394             2.519394            -1.679596 
 251                                  -2.519394             1.679596            -0.839798 
 252                                  -3.359192             2.519394            -0.839798 
 253                                  -3.359192             1.679596             0.000000 
 254                                  -2.519394             2.519394             0.000000 
 255                                  -2.519394             1.679596             0.839798 
 256                                  -3.359192             2.519394             0.839798 
 257                                  -3.359192             1.679596             1.679596 
 258                                  -2.519394             2.519394             1.679596 
 259                                  -2.519394             1.679596             2.519394 
 260                                  -3.359192             2.519394             2.519394 
 261                                  -3.359192             1.679596             3.359192 
 262                                  -2.519394             2.519394             3.359192 
 263                                  -2.519394             1.679596             4.198990 
 264                                  -3.359192             2.519394             4.198990 
 265                                  -3.359192             3.359192            -5.038789 
 266                                  -2.519394             4.198990            -5.038789 
 267                                  -2.519394             3.359192            -4.198990 
 268                                  -3.359192             4.198990            -4.198990 
 269                                  -3.359192             3.359192            -3.359192 
 270                                  -2.519394             4.198990            -3.359192 
 271                                  -2.519394             3.359192            -2.519394 
 272                                  -3.359192             4.198990            -2.519394 
 273                                  -3.359192             3.359192            -1.679596 
 274                                  -2.519394             4.198990            -1.679596 
 275                                  -2.519394             3.359192            -0.839798 
 276                                  -3.359192             4.198990            -0.839798 
 277                                  -3.359192             3.359192             0.000000 
 278                                  -2.519394             4.198990             0.000000 
 279                                  -2.519394             3.359192             0.839798 
 280                                  -3.359192             4.198990             0.839798 
 281                                  -3.359192             3.359192             1.679596 
 282                                  -2.519394             4.198990             1.679596 
 283                                  -2.519394             3.359192             2.519394 
 284                                  -3.359192             4.198990             2.519394 
 285                                  -3.359192             3.359192             3.359192 
 286                                  -2.519394             4.198990             3.359192 
 287                                  -2.519394             3.359192             4.198990 
 288                                  -3.359192             4.198990             4.198990 
 289                                  -1.679596            -5.038789            -5.038789 
 290                                  -0.839798            -4.198990            -5.038789 
 291                                  -0.839798            -5.038789            -4.198990 
 292                                  -1.679596            -4.198990            -4.198990 
 293                                  -1.679596            -5.038789            -3.359192 
 294                                  -0.839798            -4.198990            -3.359192 
 295                                  -0.839798            -5.038789            -2.519394 
 296                                  -1.679596            -4.198990            -2.519394 
 297                                  -1.679596            -5.038789            -1.679596 
 298                                  -0.839798            -4.198990            -1.679596 
 299                                  -0.839798            -5.038789            -0.839798 
 300                                  -1.679596            -4.198990            -0.839798 
 301                                  -1.679596            -5.038789             0.000000 
 302                                  -0.839798            -4.198990             0.000000 
 303                                  -0.839798            -5.038789             0.839798 
 304                                  -1.679596            -4.198990             0.839798 
 305                                  -1.679596            -5.038789             1.679596 
 306                                  -0.839798            -4.198990             1.679596 
 307                                  -0.839798            -5.038789             2.519394 
 308                                  -1.679596            -4.198990             2.519394 
 309                                  -1.679596            -5.038789             3.359192 
 310                                  -0.839798            -4.198990             3.359192 
 311                                  -0.839798            -5.038789             4.198990 
 312                                  -1.679596            -4.198990             4.198990 
 313                                  -1.679596            -3.359192            -5.038789 
 314                                  -0.839798            -2.519394            -5.038789 
 315                                  -0.839798            -3.359192            -4.198990 
 316                                  -1.679596            -2.519394            -4.198990 
 317                                  -1.679596            -3.359192            -3.359192 
 318                                  -0.839798            -2.519394            -3.359192 
 319                                  -0.839798            -3.359192            -2.519394 
 320                                  -1.679596            -2.519394            -2.519394 
 321                                  -1.679596            -3.359192            -1.679596 
 322                                  -0.839798            -2.519394            -1.679596 
 323                                  -0.839798            -3.359192            -0.839798 
 324                                  -1.679596            -2.519394            -0.839798 
 325                                  -1.679596            -3.359192             0.000000 
 326                                  -0.839798            -2.519394             0.000000 
 327                                  -0.839798            -3.359192             0.839798 
 328                                  -1.679596            -2.519394             0.839798 
 329                                  -1.679596            -3.359192             1.679596 
 330                                  -0.839798            -2.519394             1.679596 
 331                                  -0.839798            -3.359192             2.519394 
 332                                  -1.679596            -2.519394             2.519394 
 333                                  -1.679596            -3.359192             3.359192 
 334                                  -0.839798            -2.519394             3.359192 
 335                                  -0.839798            -3.359192             4.198990 
 336                                  -1.679596            -2.519394             4.198990 
 337                                  -1.679596            -1.679596            -5.038789 
 338                                  -0.839798            -0.839798            -5.038789 
 339                                  -0.839798            -1.679596            -4.198990 
 340                                  -1.679596            -0.839798            -4.198990 
 341                                  -1.679596            -1.679596            -3.359192 
 342                                  -0.839798            -0.839798            -3.359192 
 343                                  -0.839798            -1.679596            -2.519394 
 344                                  -1.679596            -0.839798            -2.519394 
 345                                  -1.679596            -1.679596            -1.679596 
 346                                  -0.839798            -0.839798            -1.679596 
 347                                  -0.839798            -1.679596            -0.839798 
 348                                  -1.679596            -0.839798            -0.839798 
 349                                  -1.679596            -1.679596             0.000000 
 350                                  -0.839798            -0.839798             0.000000 
 351                                  -0.839798            -1.679596             0.839798 
 352                                  -1.679596            -0.839798             0.839798 
 353                                  -1.679596            -1.679596             1.679596 
 354                                  -0.839798            -0.839798             1.679596 
 355                                  -0.839798            -1.679596             2.519394 
 356                                  -1.679596            -0.839798             2.519394 
 357                                  -1.679596            -1.679596             3.359192 
 358                                  -0.839798            -0.839798             3.359192 
 359                                  -0.839798            -1.679596             4.198990 
 360                                  -1.679596            -0.839798             4.198990 
 361                                  -1.679596             0.000000            -5.038789 
 362                                  -0.839798             0.839798            -5.038789 
 363                                  -0.839798             0.000000            -4.198990 
 364                                  -1.679596             0.839798            -4.198990 
 365                                  -1.679596             0.000000            -3.359192 
 366                                  -0.839798             0.839798            -3.359192 
 367                                  -0.839798             0.000000            -2.519394 
 368                                  -1.679596             0.839798            -2.519394 
 369                                  -1.679596             0.000000            -1.679596 
 370                                  -0.839798             0.839798            -1.679596 
 371                                  -0.839798             0.000000            -0.839798 
 372                                  -1.679596             0.839798            -0.839798 
 373                                  -1.679596             0.000000             0.000000 
 374                                  -0.839798             0.839798             0.000000 
 375                                  -0.839798             0.000000             0.839798 
 376                                  -1.679596             0.839798             0.839798 
 377                                  -1.679596             0.000000             1.679596 
 378                                  -0.839798             0.839798             1.679596 
 379                                  -0.839798             0.000000             2.519394 
 380                                  -1.679596             0.839798             2.519394 
 381                                  -1.679596             0.000000             3.359192 
 382                                  -0.839798             0.839798             3.359192 
 383                                  -0.839798             0.000000             4.198990 
 384                                  -1.679596             0.839798             4.198990 
 385                                  -1.679596             1.679596            -5.038789 
 386                                  -0.839798             2.519394            -5.038789 
 387                                  -0.839798             1.679596            -4.198990 
 388                                  -1.679596             2.519394            -4.198990 
 389                                  -1.679596             1.679596            -3.359192 
 390                                  -0.839798             2.519394            -3.359192 
 391                                  -0.839798             1.679596            -2.519394 
 392                                  -1.679596             2.519394            -2.519394 
 393                                  -1.679596             1.679596            -1.679596 
 394                                  -0.839798             2.519394            -1.679596 
 395                                  -0.839798             1.679596            -0.839798 
 396                                  -1.679596             2.519394            -0.839798 
 397                                  -1.679596             1.679596             0.000000 
 398                                  -0.839798             2.519394             0.000000 
 399                                  -0.839798             1.679596             0.839798 
 400                                  -1.679596             2.519394             0.839798 
 401                                  -1.679596             1.679596             1.679596 
 402                                  -0.839798             2.519394             1.679596 
 403                                  -0.839798             1.679596             2.519394 
 404                                  -1.679596             2.519394             2.519394 
 405                                  -1.679596             1.679596             3.359192 
 406                                  -0.839798             2.519394             3.359192 
 407                                  -0.839798             1.679596             4.198990 
 408                                  -1.679596             2.519394             4.198990 
 409                                  -1.679596             3.359192            -5.038789 
 410                                  -0.839798             4.198990            -5.038789 
 411                                  -0.839798             3.359192            -4.198990 
 412                                  -1.679596             4.198990            -4.198990 
 413                                  -1.679596             3.359192            -3.359192 
 414                                  -0.839798             4.198990            -3.359192 
 415                                  -0.839798             3.359192            -2.519394 
 416                                  -1.679596             4.198990            -2.519394 
 417                                  -1.679596             3.359192            -1.679596 
 418                                  -0.839798             4.198990            -1.679596 
 419                                  -0.839798             3.359192            -0.839798 
