# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 127                                  -6.541576             0.503604                      -6.037972 
 128                                  -6.541533             0.503556                      -6.037977 
 129                                  -6.541240             0.503257                      -6.037983 
 130                                  -6.540530             0.502544                      -6.037987 
 131                                  -6.539300             0.501326                      -6.037974 
 132                                  -6.537579             0.499614                      -6.037965 
 133                                  -6.535466             0.497517                      -6.037949 
 134                                  -6.533171             0.495238                      -6.037933 
 135                                  -6.530954             0.493037                      -6.037918 
 136                                  -6.529096             0.491193                      -6.037904 
 137                                  -6.527857             0.489958                      -6.037899 
 138                                  -6.527416             0.489511                      -6.037906 
 139                                  -6.527845             0.489923                      -6.037922 
 140                                  -6.529097             0.491157                      -6.037940 
 141                                  -6.531030             0.493084                      -6.037946 
 142                                  -6.533476             0.495525                      -6.037951 
 143                                  -6.536245             0.498291                      -6.037954 
 144                                  -6.539174             0.501223                      -6.037950 
 145                                  -6.542162             0.504202                      -6.037960 
 146                                  -6.545158             0.507151                      -6.038007 
 147                                  -6.548083             0.510020                      -6.038063 
 148                                  -6.550896             0.512763                      -6.038133 
 149                                  -6.553545             0.515324                      -6.038222 
 150                                  -6.555932             0.517623                      -6.038309 
 151                                  -6.557949             0.519560                      -6.038389 
 152                                  -6.559478             0.521029                      -6.038449 
 153                                  -6.560440             0.521936                      -6.038504 
 154                                  -6.560767             0.522222                      -6.038545 
 155                                  -6.560448             0.521886                      -6.038562 
 156                                  -6.559546             0.520993                      -6.038553 
 157                                  -6.558197             0.519670                      -6.038526 
 158                                  -6.556573             0.518092                      -6.038481 
 159                                  -6.554906             0.516445                      -6.038461 
 160                                  -6.553344             0.514889                      -6.038455 
 161                                  -6.551967             0.513527                      -6.038440 
 162                                  -6.550817             0.512399                      -6.038418 
 163                                  -6.549908             0.511488                      -6.038421 
 164                                  -6.549198             0.510754                      -6.038443 
 165                                  -6.548605             0.510162                      -6.038444 
 166                                  -6.548114             0.509692                      -6.038421 
 167                                  -6.547764             0.509349                      -6.038415 
